name
1 Vermont
1 Vermont to Portland
10 Harold St
12 Barbur Blvd to Portland
12 Barbur Blvd to Sherwood
12 Barbur/Sandy Blvd
12 Sandy
14 Hawthorne
14 Hawthorne to 97th and Foster
15 Belmont/NW 23rd
15 NW 23rd Ave
152 Milwaukie 
154 Willamette
155 Sunnyside Rd
156 Mather Rd
157 Happy Valley
16 Front Ave/St. Johns
17 Holgate
17 Holgate/NW 21st
19 Woodstock/Glisan
20 Burnside/Stark
22 Parkrose
23 San Rafael
24 Fremont
25 Glisan/Rockwood
27 Market/Main
28 Linwood
29 Lake/Webster Rd
30 Estacada
31 King Rd
32 Oatfield
33 McLoughlin/Fremont
34 River Rd
35 Macadam/Greeley
36 South Shore 
37 Lake Grove
38 Boones Ferry Road
39 Lewis & Clark
4 Division/Fessenden
4 Fessenden
43 Taylors Ferry Rd
44 Capitol Hwy/Mocks Crest 
45 Garden Home
46 North Hillsboro
47 Baseline/Evergreen
48 Cornell
50 Cedar Mill
51 Vista
52 Farmington/185th
53 Arctic/Allen
54 Beaverton-Hillsdale Hwy
55 Hamilton
56 Scholls Ferry Rd
57 TV Hwy/Forest Grove
58 Canyon Road
59 Walker/Park Way
6 M L King Jr to Vancouver, Washington
6 Martin Luther King Jr Blvd
61 Marquam Hill/Beaverton TC
62 Murray Blvd
63 Washington Park
64 Marquam Hill/Tigard TC
65 Marquam Hill/Barbur Blvd
66 Marquam Hill/Hollywood TC
67 Jenkins/158th Ave
68 Collins Circle
70 12th Ave
71 60th Ave/122nd Ave
72 Killingsworth/82nd Ave
73 NE 33rd Ave
75 39th Ave/Lombard
76 Beaverton/Tualatin
77 Broadway/Halsey
78 Beaverton/Lake Oswego
79 Clackamas Town Center
8 Jackson Park to OHSU and VA Hospital
8 Jackson Park to Portland
8 Jackson Park/NE 15th
80 Kane Rd/Troutdale Road
81 Kane Rd/257th Ave
82 Eastman/182nd Ave
84 Kelso/Boring
85 Swan Island
86 Alderwood
87 Airport Way/181st Ave
88 Hart/198th Ave
880-Kane/Troutdale Road
881 Kane-257th to Troutdale
89 Tanasbourne
9 Powell to Gresham TC
9 Powell/Broadway
92 South Beaverton Express
94 Sherwood/Paficic Hwy Express
96 Tualatin/I-5
99 McLoughlin Express
9-Broadway
Canby Area Transit
Cedar Mill Shuttle
Cherriots
C-TRAN # 25 Fruit Valley
C-TRAN #3 City Center
C-TRAN #4 Fourth Plain
C-TRAN #7 Battle Ground
MAX Blue Line 
MAX Green Line
MAX Red Line
MAX Yellow Line
Mountain Express
Nike Employee Shuttle
OMSI Shuttle
Portland Aerial Tram
Portland Street Car
Providence Shuttle
RC Door to Door
SAM
SCAT Shuttle
SMART 201
SMART 204
SMART 205 Canby to Wilsonville
SMART 2X
South Clackamas Transit District
Washington Park Shuttle
WES
